"Site","Stone","Inscription","Doubtful","Incomplete","Condition","Legibility","Secondary","Orientation","No_lines","Position1","Position2","Position3","Position4","Position","Incision","Technique","Names","Language","Ling_notes","Carve_err","Script","Letter_height_m","Paleo_notes"
,,,,,,,FALSE,,,,,,,,,,,,,,,,
ABCAR,1,1,,TRUE,some,,FALSE,verd,2,inc,broad,n/a,undecorated,,inc,,1,latin,,n,rcaps,-1,
ABCAR,2,1,,TRUE,n/a,,FALSE,n/a,1,n/a,n/a,n/a," n/a",n/a5£U,ind,,1,latin,,n,rcaps,-1,
ABHYD,1,1,,TRUE,poor,,FALSE,horz,4,n/a,broad,n/a,undecorated,,inc,,,latin,,n,rcaps,,
ABHYD,1,2,,,good,,TRUE,vup,1,n/a,arris,n/a,undecorated,,inc,,1,name,,n,ogham,,
ABNTY,1,1,,,good,,FALSE,inc,1,n/a,broad,n/a,panel,,pecked,,,ind,,0,oghms,,
ACKGL,1,1,,TRUE,good,,FALSE,vup,1,n/a,broad,n/a,undivided,,pocked,,1,name,,0,oghms,,
ADARN,1,1,,,good,,FALSE,horz,4,inc,broad,n/a,undecorated,,picked,,1,latin,,0,rcaps,-1,
ADARN,2,1,,,good,,FALSE,horz,6,inc,broad,n/a,undecorated,,picked,,1,latin,,0,rcaps,-1,
ADARN,2,2,,,poor,,TRUE,horz,1,inc,broad,n/a,undecorated,,inc,,,latin,,0,rcaps,-1,
AGHAL,1,1,TRUE,,poor,,FALSE,vup,1,inc,arris,n/a,undecorated,,pocked,,1,goide,,n,ogham,,
AGHAS,1,1,,,some,,FALSE,vup,1,SE,arris,n/a,undecorated,,inc,,1,goide,,0,ogham,,
AGHIB,1,1,,TRUE,some,,FALSE,verd,1,n/a,arris,n/a,undecorated,,pocked,,1,goide,,n,ogham,,
AGHIB,2,1,TRUE,FALSE,some,,FALSE,inc,1,n/a,arris,n/a,undecorated,,inc,,1,goide,,n,ogham,,
AGHIB,3,1,,TRUE,inc,,FALSE,inc,,n/a,inc,n/a,undecorated,,inc,,1,goide,,n,rbook,,
AGLIS,1,1,,TRUE,some,,FALSE,mix,3,n/a,arris,"beside cross",undivided,,inc,,1,goide,,n,ogham,,
AGLIS,2,1,,TRUE,poor,,FALSE,ind,1,n/a,arris,inc,inc,,cut,,,goide,,n,ogham,,
AGWIL,1,1,,,some,,FALSE,verd,2,n/a,broad,n/a,undecorated,,inc,,1,latin,,0,rcaps,,
AGWIL,2,1,,,inc,,FALSE,inc,1,inc,inc,inc,inc,,inc,,,latin,,0,inc,,
AHLIS,1,1,,TRUE,inc,,FALSE,vup,1,n/a,arris,n/a,undecorated,,incised,,1,name,,n,ogham,,
AHLIS,2,1,,TRUE,inc,,FALSE,vuad,1,n/a,arris,n/a,inc,,incised,,1,goide,,n,ogham,,
AHLIS,3,1,,TRUE,poor,,FALSE,ind,1,n/a,arris,inc,separated,,incised,,1,goide,,n,ogham,,
ALTYR,1,1,,TRUE,poor,,FALSE,vup,1,inc,arris,"beside cross",undivided,,pocked,,1,goide,,0,ogham,,
AMORE,1,1,,,poor,,FALSE,vuad,2,n/a,arris,n/a,undecorated,,pocked,,1,goide,,n,ogham,,
AMORE,2,1,,TRUE,poor,,FALSE,vind,1,n/a,arris,n/a,undecorated,,inc,,1,goide,,n,ogham,,
AMORE,3,1,,,good,,FALSE,vup,1,n/a,arris,"below cross",undivided,,incised,,1,name,,n,ogham,,
ANDRS,1,1,,,good,,FALSE,horz,3,n/a,broad,n/a,undecorated,,cut,,1,latin,,0,rcaps,37,
ANDRS,1,2,,TRUE,some,,FALSE,vup,1,inc,arris,n/a,undecorated,,cut,,1,goide,,0,Ogham,75,
ANGAP,1,1,,TRUE,good,,FALSE,vind,1,n/a,arris,n/a,undecorated,,pocked,,1,goide,,n,ogham,,
ANSCL,1,1,,TRUE,some,,FALSE,ind,1,n/a,arris,n/a,undecorated,,incised,,1,goide,,n,ogham,1,
ARBRY,1,1,,TRUE,good,,FALSE,vup,1,inc,arris,n/a,undecorated,,incised,,1,goide,,0,ogham,62,
ARBRY,2,1,,TRUE,good,,FALSE,inc,1,inc,other,n/a,inc,,inc,,1,goide,,0,ogham,100,
ARDCT,1,1,,TRUE,poor,,FALSE,ind,1,n/a,arris,n/a,undecorated,,inc,,1,goide,,n,ogham,,
ARDCT,2,1,FALSE,,inc,,FALSE,verd,2,inc,arris,n/a,undecorated,,scored,,0,unknw,,n,oghms,,
ARDFE,1,1,,TRUE,some,,FALSE,vuad,1,n/a,arris,n/a,undecorated,,pocked,,1,goide,,n,ogham,,
ARDNE,1,1,,TRUE,some,,FALSE,ind,1,n/a,arris,mixed,undecorated,,inc,,,goide,,n,ogham,0,
ARFYN,1,1,,,good,,FALSE,verd,1,inc,broad,n/a,undecorated,,pocked,,1,name,,0,rcaps,80,
ARRAG,1,1,,,good,,FALSE,vuad,1,n/a,arris,"beside cross",inc,,pocked,,1,goide,,n,ogham,,
ARRAG,2,1,TRUE,TRUE,poor,,FALSE,ind,1,n/a,arris,inc,inc,,inc,,,n/a,,n,inc,,
ATHLO,1,1,,,inc,,FALSE,inc,1,inc,inc,"within quadrants",separated,,inc,,1,goide,,n,rbook,,
AUQUH,1,1,,TRUE,good,,FALSE,vup,1,SE,arris,"beside cross",undivided,,inc,,1,ind,,0,ogham,50,
AUTAG,1,1,TRUE,TRUE,some,,FALSE,ind,2,n/a,arris,inc,undecorated,,inc,,1,name,,n,oghms,,
AYWAG,1,1,,,n/a,,FALSE,ind,1,n/a,arris,n/a,other,,inc,,1,name,,n,oghms,,
BABOR,1,1,TRUE,,some,,FALSE,vruu,2,SE,arris,inc,undecorated,,pocked,,1,goide,,n,ogham,,
BABOR,2,1,,,inc,,FALSE,vup,1,n/a,arris,n/a,undecorated,,inc,,1,name,,n,ogham,,
BAGLN,1,1,,,good,,FALSE,verd,1,ind,broad,"beside cross",undivided,,pocked,,1,name,,0,rbook,,
BAHAN,1,1,,TRUE,good,,FALSE,vuad,1,n/a,arris,n/a,undecorated,,scored,,1,goide,,n,ogham,,
BAHAN,1,2,,TRUE,some,,FALSE,verd,1,n/a,arris,n/a,undecorated,,inc,,1,name,,0,ogham,,
BAHAN,2,1,,,some,,FALSE,vupd,3,n/a,arris,n/a,undecorated,,inc,,1,goide,,n,ogham,,
BAHAN,3,1,,TRUE,some,,FALSE,vup,1,n/a,arris,inc,undecorated,,pocked,,1,name,,n,ogham,,
BAHAN,4,1,,,good,,FALSE,vup,1,n/a,arris,n/a,undecorated,,cut,,1,goide,,n,ogham,,
BAHAN,5,1,,,some,,FALSE,vuad,1,n/a,arris,n/a,undecorated,,inc,,1,goide,,n,ogham,,
BAHAN,5,2,TRUE,,poor,,FALSE,vind,1,n/a,arris,n/a,undecorated,,inc,,,ind,,n,ogham,,
BAHAN,6,1,,,some,,FALSE,vup,1,n/a,arris,inc,undecorated,,scratched,,1,name,,n,ogham,,
BAHAN,6,2,TRUE,TRUE,poor,,TRUE,vup,1,n/a,arris,n/a,undecorated,,scored,,,goide,,n,ogham,,
