"Site","Name","Cel_name","Place","Cel_place","Parish","Cel_parish","County","Cel_county","Country","HeightOD","Site_type","Site_descrip","Site_history"
ABCAR,Abercar,inc,Abercar,inc,Abercar,inc,Brecknockshire,"Sir Brycheiniog",Wales,,modsc,,
ABHYD,Aberhydfer,inc,Trecastle,inc,Trecastle,inc,Brecknockshire,"Sir Brycheiniog",Wales,,modsc,,
ABNTY,Abernethy,inc,Abernethy,inc,inc,inc,Perthshire,inc,Scotland,,eccle,,
ACKGL,Ackergill,inc,Ackergill,inc,Wick,inc,Caithness,inc,Scotland,,cemet,,
ADARN,"Chapel Anelog","Capel Angelog","Gors Farm",inc,Aberdaron,inc,Caernarvonshire,"Sir Caernarfon",Wales,,eccle,,
AGHAL,Aghaleague,Aghaleague,Aghaleague,Aghaleague,Tirawley,inc,Mayo,inc,Ireland,788,lands,,
AGHAS,Aghascrebagh,inc,inc,inc,"Upper Strabane",inc,Tyrone,inc,Ireland,,inc,,
AGHIB,Aghacarrible,Aghacarrible,Aghacarrible,Aghacarrible,Corkaguiney,inc,Kerry,inc,Ireland,,soutn,,
AGLIS,Aglish,Aglish,Aglish,Aglish,Corkaguiney,inc,Kerry,inc,Ireland,,cemet,,
AGWIL,"Pant Deuddwr","Pant Deuddwr",Abergwili,Abergwili,Abergwili,Abergwili,Carmarthenshire,Caerfyrddin,Wales,,eccle,,
AHLIS,Ahalisky,Ahalisky,Ahalisky,Ahalisky,"East Carbery",Kilmalooda,Cork,inc,Ireland,,soutn,,
ALTYR,Altyre,inc,Altyre,inc,Rafford,inc,Moray,inc,Scotland,,lands,,
AMORE,Ardmore,Ardmore,Ardmore,inc,"Barony of Decies within Drum",inc,Tipperary,inc,Ireland,,eccle,,
ANDRS,Knoc-y-doonee,Knoc-y-doonee,Andreas,Andreas,Andreas,Andreas,"Isle of Man","Ynys Manaw/Ellan Vannin","Isle of Man",,cemet,,
ANGAP,Annagap,Annagap,Annagap,Annagap,Kerry,inc,Corkaguiney,inc,Ireland,,lands,,
ANSCL,Annascaul,Annascaul,Annascaul,Annascaul,inc,inc,Kerry,inc,Ireland,,modsc,,
ARBRY,"Bimaken Friary",inc,Arbory,inc,"Kirk Arbory",inc,"Isle of Man","Ellan Vannin/Ynys Manaw","Isle of Man",,eccle,,
ARDCT,Ardcanaght,Ardcanaght,Ardcanaght,Ardcanaght,Trughanacmy,inc,Kerry,inc,Ireland,,cemet,,
ARDFE,Ardfert,Ardfert,Ardfert,Ardfert,Clanmaurice,inc,Kerry,inc,Ireland,,lands,,
ARDNE,Ardrinane,Ardrinane,Ardrinane,Ardrinane,Corkaguiney,inc,Kerry,inc,Ireland,,modsc,,
ARFYN,Arfryn,Arfryn,Arfryn,Arfryn,Bodedern,Bodedern,Anglesey,"Sir Fon",Wales,,cemet,,
ARRAG,Arraglen,Ara-ghleann,Arraglen,Ara-ghleann,Corkaguiney,inc,Kerry,inc,Ireland,,lands,,
ATHLO,Athlone,Athlone,Athlone,Athlone,Brawny,inc,Westmeath,inc,Ireland,,cemet,,
AUQUH,Auquhollie,inc,Auquhollie,inc,Fetteresso,inc,Kincardineshire,,Scotland,,lands,,
AUTAG,Aultagh,inc,Aultagh,inc,"East Carbery",inc,Cork,inc,Ireland,,lands,,
AYWAG,Ardywanig,Ardywanig,Ardywanig,Ardywanig,Trughanacmy,inc,Kerry,inc,Ireland,,cemet,,
BABOR,Ballynabortagh,inc,Ballynabortagh,inc,Barrymore,inc,Cork,inc,Ireland,,lands,,
BAGLN,Baglan,Morg,Baglan,Morg,Baglan,Morg,Glamorganshire,"Sir Morgannwg",Wales,,eccle,,
BAHAN,Ballyhank,inc,Ballyhank,inc,"East Muskerry",inc,Cork,inc,Ireland,,settl,,
BAKIL,Ballynakill,inc,Ballynakill,inc,Moydow,inc,Longford,inc,Ireland,,cemet,,
BAKNK,Ballyknock,inc,Ballyknock,inc,Kinnatalloon,inc,Cork,inc,Ireland,,modsc,,
BALBA,Ballybarrack,Ballybarrack,Ballybarrack,Ballybarrack,inc,inc,Louth,inc,Ireland,,soutn,,
BALBO,Ballynabortagh,Ballynabortagh,Ballynabortagh,Ballynabortagh,Barrymore,inc,Cork,inc,Ireland,,lands,,
BALBR,Ballybroman,inc,Ballybroman,inc,inc,inc,Kerry,inc,Ireland,,soutn,,
BALEE,Ballineanig,inc,Ballineanig,inc,Corkaguiney,inc,Kerry,inc,Ireland,,lands,,
BALGH,Balloughton,inc,Balloughton,inc,Bargy,inc,Wexford,"Loch Garman",Ireland,,lands,,
BALIG,Ballinranig,inc,Ballinranig,inc,Corkaguiney,inc,Kerry,inc,Ireland,,eccle,,
BARDS,"Bardsey Island",inc,Bardsey,inc,Bardsey,inc,Caernarvonshire,"Sir Caernarfon",Wales,,eccle,,
BARHA,Barrahaurin,inc,Barrahaurin,inc,"East Muskerry",inc,Cork,inc,Ireland,,soutn,,
BARM1,Barmouth,inc,Barmouth,inc,Barmouth,inc,Merionethshire,"Sir Meirionydd",Wales,,other,,
BARM2,"Ceilwart Isa Farm",inc,"Ceilwart Isa Farm",inc,Barmouth,inc,Merionethshire,"Sir Meirionydd",Wales,,inc,,
BAROG,Barnaveddoge,Barnaveddoge,Barnaveddoge,Barnaveddoge,Ardee,inc,Louth,inc,Ireland,,eccle,,
BAVEL,Ballyvellon,inc,Ballyvellon,inc,Glenahiry,inc,Waterford,inc,Ireland,,lands,,
BAWGL,Bawlaglanna,inc,Bawlaglenna,inc,Trughanacmy,inc,Kerry,inc,Ireland,,lands,,
BAYEL,Ballyelan,inc,Ballyelan,inc,"Connello Upper",inc,Limerick,inc,Ireland,,lands,,
BCARE,Boleycarrigeen,Boleycarrigeen,Boleycarrigeen,Boleycarrigeen,"Upper Talbotstown",inc,Wicklow,inc,Ireland,,settl,,
BDAFN,"Tyddyn Holland",inc,Bodafon,inc,Llandudno,inc,Caernarvonshire,"Sir Caernarfon",Wales,,lands,,
BDREN,Ballyandreen,"Baile an Draighin",Ballyandreen,"Baile an Draighin",Corkaguiney,inc,Kerry,inc,Ireland,,modsc,,
BENBR,Bennettsbridge,Bennettsbridge,Bennettsbridge,Bennettsbridge,inc,inc,Kilkenny,inc,Ireland,,modsc,,
BGARR,Ballingary,inc,Ballingary,inc,Coshlea,inc,Limerick,inc,Ireland,,lands,,
BGLAS,Baltinglass,Baltinglass,Baltinglass,Baltinglass,"Upper Talbotstown",inc,Wicklow,inc,Ireland,,inc,,
BHILL,Brackhill,inc,Brackhill,inc,Trughanacmy,inc,Kerry,inc,Ireland,,soutn,,
BIISL,"Bishop's Island",inc,"Bishop's Island",inc,Barrymore,inc,Cork,inc,Ireland,,modsc,,
BIRSY,Birsay,inc,Birsay,inc,inc,inc,Orkney,inc,Scotland,,settl,,
BISCV,Biscovey,inc,"St Blazey",inc,"St Blazey",inc,Cornwall,Kernow,England,,lands,,
BLFOO,Blackwaterfoot,inc,Blackwaterfoot,inc,Kilmory,inc,Arran,inc,Scotland,,lands,,
BLHER,Ballinvoher,inc,Ballinvoher,inc,Corkaguiny,inc,Kerry,inc,Ireland,,lands,,
BLHUN,Ballynahunt,inc,Ballynahunt,inc,Corkaguiney,inc,Kerry,inc,Ireland,,modsc,,
BLNIG,Ballineanig,inc,Ballineanig,inc,Corkaguiney,inc,Kerry,inc,Ireland,,lands,,
BLTAG,Ballintaggart,"Baile an Tsaigart",Ballintaggart,"Baile an Tsaigart",Corkaguiney,inc,Kerry,inc,Ireland,,cemet,,
BLTER,Ballintermon,"Baile an Tearmainn",Ballintermon,"Baile an Tearmainn",Corkaguiney,inc,Kerry,inc,Ireland,,lands,,
BLVOO,Ballyvooney,inc,Ballyvooney,inc,"Decies without Drum",inc,Waterford,inc,Ireland,,other,,
BLYGH,Ballymorereagh,"An Baile Riabhach",Ballymorereagh,"An Baile Riabhach",Corkaguiney,inc,Kerry,inc,Ireland,,lands,,
BODFD,Bodfeddan,Bodfeddan,Bodfeddan,Bodfeddan,Llanbeulan,Llanbeulan,Anglesey,"Sir Fon",Wales,,lands,,
BOSKN,Vellansajer,inc,Tregadgwith?,inc,"St Buryan",inc,Cornwall,Kernow,England,,modsc,,
BOSLW,Boslow,inc,Boslow,inc,"St Just",inc,Cornwall,Kernow,England,,lands,,
BOSWR,Bosworgey,inc,"St Columb Major",inc,inc,inc,Cornwall,Kernow,England,,modsc,,
BOWDN,Bowden,inc,Bowden,inc,inc,inc,Devon,inc,England,,modsc,,None.U
BQUIN,Ballyquin,inc,Ballyquin,inc,"Middle Third",inc,Waterford,inc,Ireland,,,,
BRAGH,Ballyeightragh,"An Baile Iochtarach",Ballyeightragh,"An Baile Iochtarach",Corkaguiney,inc,Kerry,inc,Ireland,,other,,
