"SITE","STONE","DISC_CIRC","DISC_WHEN","DISC_WHO","SUBSQ_HIST","CURRENT_SEtting","CURRENT_LOcation","LOC_NOTES","MON_FORM","FORM_NOTES","COMPLETENEss","PRESERVATIon","PRESCONDNOtes","M_SOURCE","M_HEIGHT","M_HT_STATUs","M_WIDTH","M_WDTH_STAtus","M_THICKNESs","M_THCK_STAtus","I_SOURCE","I_HT_FEET","I_HT_INCHEs","I_HT_STATUs","I_WD_FEET","I_WD_INCHEs","I_WDTH_STAtus","I_TH_FEET","I_TH_INCHEs","I_THCK_STAtus","STONE_TYPE","NO_CARVED","DECOR_NOTEs","VISITED"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAR,1,"in/on structure",-1,"I. Morganwg",,"in display",other,,pilsp,,incomplete,some,,converted,1.79,actual,0.23,actual,0.14,actual,Macalister/1945,5,10.5,actual,0,9,actual,0,5.5,actual,,0,,
ABCAR,2,"in/on structure",-1,"I. Morganwg",,lost,lost,,fragy,,frgmntry,n/a,Lost.U,n/a,-1,n/a,-1,n/a,-1,n/a,n/a,-1,-1,n/a,-1,-1,n/a,-1,-1,n/a,,0,,
ABHYD,1,recognised,1954,"Canon Jones-Davies",,unattch,other,,pilsp,,complete,some,,Tomlin/1975,1.82,actual,0.33,actual,0.22,actual,converted,5,11.75,actual,1,1,actual,0,8.75,actual,,0,,
ABNTY,1,recognised,1890,"Mr. Marr",,"in display",museum,,ind,,frgmntry,good,,Forsyth/1996,0.36,actual,0.23,actual,0.07,actual,converted,1,2.25,actual,0,9,actual,0,2.75,actual,,1,,
ACKGL,1,recognised,1897,"J. Nicholson",,unattch,museum,,pilsy,,frgmntry,some,,Forsyth/1996,1.2,actual,0.6,actual,0.08,actual,converted,3,11.25,actual,1,11.5,actual,0,3.25,actual,,1,,
ADARN,1,"first mentioned",1700,Stowe,,unattch,other,,nboul,,complete,good,,converted,0.91,actual,0.58,actual,0.2,actual,Macalister/1945,3,0,actual,1,11,actual,0,8,actual,,0,,
ADARN,2,"first mentioned",1700,Stowe,,unattch,other,,nboul,,complete,good,,converted,0.91,actual,0.41,actual,0.1,actual,Macalister/1945,3,0,actual,1,4,actual,0,4,actual,,1,,
AGHAL,1,"first mentioned",1919,Macalister,,"in ground",earliest,,pillp,,incomplete,poor,,converted,2.03,visible,1.98,uncertain,0.15,uncertain,Macalister/1945,6,8,visible,6,6,uncertain,0,6,uncertain,,0,,
AGHAS,1,"first mentioned",1882,Wakeman,,inc,inc,,pilsp,,complete,some,,converted,1.22,visible,0.46,actual,0.53,actual,Macalister/1945,4,0,visible,1,6,actual,1,9,actual,,0,,
